node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
CDC42,15960,0.71266,11,11,5.697,2,0.5,15.5,1.7,3.86587,26,0.76364
TRIB3,48,0.58344,5,5,3.596,1,0.5,12.5,1.4,0.2,2,0.9
ARRB2,168,0.5854,7,7,4.441,1,0.5,13.5,1.5,1.16111,10,0.7619
ILK,10800,0.76373,9,9,5.129,1,0.5,14.5,1.6,0.84444,8,0.88889
FOXO1,2227680,0.85585,14,14,6.564,1,0.5,17,1.85,3.4342,30,0.83516
HSP90AB1,1674888,0.76906,17,17,6.825,4,0.5,18.5,2,12.04618,82,0.69853
CHUK,1215384,0.75111,15,15,6.766,1,0.5,17.5,1.9,9.20657,60,0.71429
MTOR,2490528,0.77865,18,18,7.175,3,0.5,19,2.05,14.41291,94,0.69281
PDPK1,2464584,0.78973,16,16,7.013,1,0.5,18,1.95,10.3272,64,0.73333
FOXO3,2227680,0.85585,14,14,6.517,1,0.5,17,1.85,3.4342,30,0.83516
HSP90AA1,2481120,0.80144,17,17,6.959,1,0.5,18.5,2,9.98038,74,0.72794
SMAD3,10824,0.66175,11,11,5.647,1,0.5,15.5,1.7,5.15714,32,0.70909
GSK3B,1276752,0.69687,19,19,7.448,1,0.5,19.5,2.1,23.62165,134,0.60819
RPTOR,812880,0.81748,13,13,6.24,1,0.5,16.5,1.8,3.39776,28,0.82051
NOS3,40344,0.73986,9,9,5.006,1,0.5,14.5,1.6,1.57143,10,0.86111
PIK3CA,2451600,0.81763,17,17,7.021,1,0.5,18.5,2,9.15022,70,0.74265
PHLPP1,241920,0.86537,11,11,5.918,1,0.5,15.5,1.7,0.68182,8,0.92727
MDM2,1617984,0.82206,14,14,6.525,1,0.5,17,1.85,4.90815,36,0.8022
CDKN1B,816480,0.86346,12,12,5.758,1,0.5,16,1.75,1.45253,14,0.89394
CDC37,1440,0.73175,7,7,4.869,1,0.5,13.5,1.5,0.13333,2,0.95238
AKT1,2492136,0.72465,20,20,7.228,1,1,20,2.15,25.01291,144,0.62105
